ID;X;Y
75;645490.3537;6847386.877
76;659567.9704;6836045.178
77;647489.0972;6892770.805
78;641297.8019;6878910.501
79;650522.7403;6862508.386
80;665187.7863;6872065.064
81;683375.6369;6861730.128
82;626715.9052;6871521.47
83;588885.8926;6888978.703
84;617923.1266;6907437.932
85;628760.0224;6886661.323
86;646601.5804;6862960.595
87;705900.508;6856495.155
88;644863.5571;6866719.636
89;642062.4133;6824065.653
90;648252.3468;6864032.793
91;632270.492;6877285.666
92;650473.3505;6864302.327
93;609310.9514;6857412.645
94;654028.2602;6860706.113
95;645947.4807;6859147.856
96;647616.9325;6849076.438
97;618347.6582;6847438.902
98;632577.9185;6879752.013
99;650329.4003;6867508.196
100;681741.8328;6814549.588
101;636535.4567;6855369.22
102;564619.6902;6881422.064
103;590807.7293;6821260.684
104;657304.576;6847424.318
105;645644.2234;6872125.575
106;647131.0079;6861753.258
107;642252.5611;6882002.515
108;633619.1985;6844942.894
109;653354.0641;6880555.884
110;612801.1351;6874367.855
111;646718.0509;6875879.97
112;665207.5619;6860643.885
113;654619.1222;6808073.817
114;637281.4516;6885836.233
115;669437.8838;6863871.754
116;620663.0266;6849805.033
117;641301.8512;6883137.529
118;645824.4;6877606.829
119;630385.8394;6808661.332
120;646567.771;6875851.492
121;648019.5288;6854402.577
122;640300.5563;6869240.401
123;660634.6208;6858019.768
124;615486.8098;6877541.894
125;605082.4575;6877398.826
126;690362.3536;6848320.953
127;674525.4342;6825278.342
128;673822.1594;6875161.265
129;628301.2007;6805784.296
130;644965.5009;6824722.074
131;672355.684;6826570.182
132;615843.5759;6844270.158
133;661599.7184;6830525.647
134;636544.5065;6865911.575
135;649716.2727;6869205.79
136;657170.2467;6849597.535
137;632271.8741;6863511.047
138;668280.5752;6836551.856
139;642034.6212;6845381.124
140;657875.1827;6855927.66
141;677235.3131;6852342.427
142;643880.336;6845604.454
143;656037.7708;6866623.261
144;656364.5495;6837515.735
145;604799.7395;6859283.828
146;639728.5186;6844463.587
147;629745.1416;6870791.993
148;633854.6907;6883353.252
149;636479.9549;6884874.861
150;651345.3912;6860202.455
151;636256.5279;6881918.382
152;629808.9427;6854569.377
153;648392.045;6853703.414
154;656177.8429;6891190.503
155;665912.7033;6870801.079
156;648010.5913;6890706.616
157;643802.8934;6865091.242
158;643802.8934;6865091.242
159;631823.8462;6855803.801
160;649376.3157;6839402.35
161;661274.3885;6856365.487
162;666423.4264;6858231.072
163;642517.7175;6862105.431
164;640300.5563;6869240.401
165;682264.3099;6848845.693
166;585972.6058;6870580.43
167;602805.0282;6834686.579
168;709720.5179;6802645.021
169;714975.765;6798470.246
170;722553.7206;6769632.401
171;680838.4796;6767436.247
172;620241.7927;6902898.099
173;685001.2538;6893697.428
174;705519.3;6892856.368
175;654715.7015;6860069.225
176;678638.7274;6859648.704
177;640408.4984;6856373.716
178;645825.9422;6870373.15
179;664325.6353;6861603.821
180;660433.6071;6845478.958
181;641297.8019;6878910.501
182;644588.3153;6879785.711
183;691431.1774;6862590.549
184;677209.3467;6803640.679
185;668582.2523;6878393.421
186;646485.8881;6867554.433
187;640948.0091;6874584.825
188;642647.8378;6831646.159
189;638831.6993;6829696.241
190;593159.7146;6872461.091
191;651465.8891;6858094.927
192;652793.9852;6864737.208
193;663952.0698;6891999.562
